image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,occupancy,regularity_index
cmp_b0096.jpg,627,1024,182,88,78,12,5,1.3,0.7006061895683499
cmp_b0097.jpg,883,1024,242,150,121,18,7,0.9603174603174603,0.062338020254332493
cmp_b0098.jpg,1024,802,130,64,55,16,3,1.1458333333333333,0.5840910511018682
cmp_b0099.jpg,737,1024,153,96,76,16,4,1.1875,0.7795454990358011
cmp_b0100.jpg,1024,726,190,118,105,20,4,1.3125,0.49924252061522023
cmp_b0101.jpg,1024,845,131,73,62,18,3,1.1481481481481481,0.45050521487596906
cmp_b0102.jpg,768,1024,140,60,55,10,5,1.1,0.5890910483745969
cmp_b0103.jpg,1024,807,80,35,34,17,2,1.0,0.3333335777776704
cmp_b0104.jpg,666,1024,178,113,86,12,6,1.1944444444444444,0.5121214348024631
cmp_b0105.jpg,507,1024,154,107,89,12,7,1.0595238095238095,0.32684014149269686
cmp_b0106.jpg,574,1024,220,129,107,14,6,1.2738095238095237,0.5034634308670021
cmp_b0107.jpg,751,1024,205,119,105,15,7,1.0,0.2666669888887352
cmp_b0108.jpg,766,1024,202,157,117,14,7,1.1938775510204083,0.31218337768766635
cmp_b0109.jpg,825,1024,196,91,84,13,6,1.0769230769230769,0.5916085961855302
cmp_b0110.jpg,812,1024,157,93,86,13,6,1.1025641025641026,0.5888113949140734
cmp_b0111.jpg,1024,689,116,57,46,14,2,1.6428571428571428,0.46320371256710813
cmp_b0112.jpg,1024,754,191,97,85,19,5,0.8947368421052632,0.3885169193416783
cmp_b0113.jpg,1024,951,203,121,102,18,3,1.8888888888888888,0.36969717814499925
cmp_b0114.jpg,1024,987,172,81,71,19,3,1.2456140350877194,0.3732059229084419
cmp_b0115.jpg,1024,687,120,83,76,17,4,1.1176470588235294,0.7204991601793223
cmp_b0116.jpg,1024,804,125,59,53,16,2,1.65625,0.3284093632918842
cmp_b0117.jpg,643,1024,124,70,68,15,5,0.9066666666666666,0.656484976260733
cmp_b0118.jpg,704,1024,188,96,82,13,6,1.0512820512820513,0.5944057974569867
cmp_b0119.jpg,846,1024,218,113,96,17,7,0.8067226890756303,0.11224889172302702
cmp_b0120.jpg,767,1024,107,52,45,12,3,1.25,0.7060607320476904
