image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row,wwr
cmp_b0112.jpg,1024,754,191,97,85,19,5,0.2635888991107934
cmp_b0113.jpg,1024,951,203,121,102,18,3,0.28772009638746965
cmp_b0114.jpg,1024,987,172,81,71,19,3,0.32915292854167605
cmp_b0115.jpg,1024,687,120,83,76,17,4,0.19625248257432126
cmp_b0116.jpg,1024,804,125,59,53,16,2,0.4141151557089443
cmp_b0117.jpg,643,1024,124,70,68,15,5,0.26411593032811365
cmp_b0118.jpg,704,1024,188,96,82,13,6,0.3616512043981564
cmp_b0119.jpg,846,1024,218,113,96,17,7,0.2658628985801904
cmp_b0120.jpg,767,1024,107,52,45,12,3,0.33798649028510097
cmp_b0121.jpg,758,1024,225,129,102,15,6,0.4169278996865204
cmp_b0122.jpg,717,1024,135,77,66,14,5,0.40232257867353255
cmp_b0123.jpg,780,1024,161,93,75,12,5,0.3290468562876296
cmp_b0124.jpg,805,1024,183,76,67,14,3,0.1625832039089207
cmp_b0125.jpg,722,1024,219,138,109,15,6,0.27038746905509775
cmp_b0126.jpg,752,1024,124,67,66,11,4,0.10878604450432287
cmp_b0127.jpg,795,1024,99,32,27,9,2,0.12424533220495228
cmp_b0128.jpg,771,1024,77,52,46,12,3,0.354938172914849
cmp_b0129.jpg,765,1024,131,81,73,13,6,0.2692134664434256
cmp_b0130.jpg,761,1024,117,48,43,10,4,0.2528746832976028
cmp_b0131.jpg,1024,851,152,91,74,15,4,0.291965782883079
cmp_b0132.jpg,1024,876,186,111,95,19,4,0.2773819825420696
cmp_b0133.jpg,1024,890,109,56,49,13,4,0.20655728091901898
cmp_b0134.jpg,568,1024,132,64,57,12,3,0.32495073008425224
cmp_b0135.jpg,718,1024,205,123,96,16,5,0.35226197364137357
cmp_b0136.jpg,731,1024,167,105,89,15,4,0.47115274057481593
cmp_b0137.jpg,737,1024,144,58,50,13,3,0.25676774505952327
cmp_b0138.jpg,776,1024,130,52,48,14,2,0.2798854077776423
cmp_b0139.jpg,732,1024,139,69,60,15,3,0.3630551387523499
cmp_b0140.jpg,624,1024,125,75,63,15,3,0.5853131404783454
cmp_b0141.jpg,589,1024,171,83,75,11,4,0.2505498037623494
cmp_b0142.jpg,800,1024,100,44,34,9,3,0.4507212948121506
cmp_b0143.jpg,977,1024,110,51,47,15,3,0.21369615250967217
cmp_b0144.jpg,677,1024,135,78,67,14,4,0.3425778816199377
cmp_b0145.jpg,764,1024,166,95,91,14,5,0.42656849367117883
cmp_b0146.jpg,1024,989,120,39,35,19,2,0.3049456928946059
cmp_b0147.jpg,669,1024,88,47,40,10,4,0.2693734666333963
cmp_b0148.jpg,1024,768,125,65,54,17,3,0.31453794955858827
cmp_b0149.jpg,1024,768,123,51,43,17,2,0.18004906721858152
cmp_b0150.jpg,1024,768,111,71,61,18,2,0.2897995587880459
cmp_b0151.jpg,1024,768,138,80,68,17,3,0.2591671266482674
cmp_b0152.jpg,1024,768,103,51,41,11,3,0.15104820224531113
cmp_b0153.jpg,1024,768,184,91,75,17,4,0.24158019645014492
cmp_b0154.jpg,1024,768,153,87,64,15,4,0.24729094722957562
cmp_b0155.jpg,1024,768,149,102,81,18,4,0.533451919782855
cmp_b0156.jpg,1024,768,147,97,80,21,3,0.3007378923705669
cmp_b0157.jpg,1024,768,184,107,94,19,5,0.2951610207930483
cmp_b0158.jpg,1024,768,188,113,91,19,5,0.4202044468144174
cmp_b0159.jpg,1024,768,155,72,66,17,3,0.15057844973174178
cmp_b0160.jpg,1024,768,115,71,55,13,3,0.22874675903911368
cmp_b0161.jpg,1024,768,135,72,57,13,4,0.21946237785376663
cmp_b0162.jpg,870,1024,234,111,106,19,5,0.34276195461254566
cmp_b0163.jpg,1024,749,170,109,93,18,5,0.5934453347118118
cmp_b0164.jpg,853,1024,129,49,46,11,4,0.1370616833277415
cmp_b0165.jpg,1001,1024,149,100,79,16,4,0.3473698306013413
cmp_b0166.jpg,757,1024,114,66,64,13,5,0.19629721321493926
cmp_b0167.jpg,1024,837,141,83,74,19,3,0.3840309389959174
cmp_b0168.jpg,974,1024,211,118,104,19,4,0.22704364154943485
cmp_b0169.jpg,803,1024,173,96,88,15,4,0.24564298623661893
cmp_b0170.jpg,1024,858,139,87,73,15,4,0.37358534103900737
cmp_b0171.jpg,1024,933,174,80,75,18,3,0.24102537218264655
cmp_b0172.jpg,812,1024,176,92,76,15,4,0.24293331660498085
cmp_b0173.jpg,1024,777,151,72,56,15,3,0.21604860144285534
cmp_b0174.jpg,780,1024,150,78,72,16,3,0.256408315809011
cmp_b0175.jpg,795,1024,123,76,65,15,3,0.36507860886136256
cmp_b0176.jpg,836,1024,115,58,52,11,4,0.20790543720632373
cmp_b0177.jpg,830,1024,112,55,53,10,5,0.16476572736546624
cmp_b0178.jpg,780,1024,124,71,60,13,3,0.20777102928777344
cmp_b0179.jpg,814,1024,126,65,52,13,3,0.2775349356107601
cmp_b0180.jpg,800,1024,124,74,57,13,5,0.3923619334998107
cmp_b0181.jpg,1024,804,125,66,52,15,2,0.18995072591459805
cmp_b0182.jpg,1024,671,184,108,101,17,5,0.37357893445512297
cmp_b0183.jpg,1024,720,137,63,53,17,3,0.23529548884887264
cmp_b0184.jpg,1024,571,132,61,52,16,3,0.5747085758067753
