image,H,W,masks_total,candidates_kept,blocks_drawn,rows,median_cols_per_row
cmp_b0097.jpg,883,1024,242,150,121,18,7
cmp_b0098.jpg,1024,802,130,64,55,16,3
cmp_b0099.jpg,737,1024,153,96,76,16,4
cmp_b0100.jpg,1024,726,190,118,105,20,4
cmp_b0101.jpg,1024,845,131,73,62,18,3
cmp_b0102.jpg,768,1024,140,60,55,10,5
cmp_b0103.jpg,1024,807,80,35,34,17,2
cmp_b0104.jpg,666,1024,178,113,86,12,6
cmp_b0105.jpg,507,1024,154,107,89,12,7
cmp_b0106.jpg,574,1024,220,129,107,14,6
cmp_b0107.jpg,751,1024,205,119,105,15,7
cmp_b0108.jpg,766,1024,202,157,117,14,7
cmp_b0109.jpg,825,1024,196,91,84,13,6
cmp_b0110.jpg,812,1024,157,93,86,13,6
cmp_b0111.jpg,1024,689,116,57,46,14,2
cmp_b0112.jpg,1024,754,191,97,85,19,5
cmp_b0113.jpg,1024,951,203,121,102,18,3
cmp_b0114.jpg,1024,987,172,81,71,19,3
cmp_b0115.jpg,1024,687,120,83,76,17,4
cmp_b0116.jpg,1024,804,125,59,53,16,2
cmp_b0117.jpg,643,1024,124,70,68,15,5
cmp_b0118.jpg,704,1024,188,96,82,13,6
cmp_b0119.jpg,846,1024,218,113,96,17,7
cmp_b0120.jpg,767,1024,107,52,45,12,3
cmp_b0121.jpg,758,1024,225,129,102,15,6
cmp_b0122.jpg,717,1024,135,77,66,14,5
cmp_b0123.jpg,780,1024,161,93,75,12,5
cmp_b0124.jpg,805,1024,183,76,67,14,3
cmp_b0125.jpg,722,1024,219,138,109,15,6
cmp_b0126.jpg,752,1024,124,67,66,11,4
cmp_b0127.jpg,795,1024,99,32,27,9,2
cmp_b0128.jpg,771,1024,77,52,46,12,3
cmp_b0129.jpg,765,1024,131,81,73,13,6
cmp_b0130.jpg,761,1024,117,48,43,10,4
cmp_b0131.jpg,1024,851,152,91,74,15,4
cmp_b0132.jpg,1024,876,186,111,95,19,4
cmp_b0133.jpg,1024,890,109,56,49,13,4
cmp_b0134.jpg,568,1024,132,64,57,12,3
cmp_b0135.jpg,718,1024,205,123,96,16,5
cmp_b0136.jpg,731,1024,167,105,89,15,4
cmp_b0137.jpg,737,1024,144,58,50,13,3
cmp_b0138.jpg,776,1024,130,52,48,14,2
cmp_b0139.jpg,732,1024,139,69,60,15,3
cmp_b0140.jpg,624,1024,125,75,63,15,3
cmp_b0141.jpg,589,1024,171,83,75,11,4
cmp_b0142.jpg,800,1024,100,44,34,9,3
cmp_b0143.jpg,977,1024,110,51,47,15,3
cmp_b0144.jpg,677,1024,135,78,67,14,4
cmp_b0145.jpg,764,1024,166,95,91,14,5
cmp_b0146.jpg,1024,989,120,39,35,19,2
cmp_b0147.jpg,669,1024,88,47,40,10,4
cmp_b0148.jpg,1024,768,125,65,54,17,3
cmp_b0149.jpg,1024,768,123,51,43,17,2
cmp_b0150.jpg,1024,768,111,71,61,18,2
cmp_b0151.jpg,1024,768,138,80,68,17,3
cmp_b0152.jpg,1024,768,103,51,41,11,3
cmp_b0153.jpg,1024,768,184,91,75,17,4
cmp_b0154.jpg,1024,768,153,87,64,15,4
cmp_b0155.jpg,1024,768,149,102,81,18,4
cmp_b0156.jpg,1024,768,147,97,80,21,3
cmp_b0157.jpg,1024,768,184,107,94,19,5
cmp_b0158.jpg,1024,768,188,113,91,19,5
cmp_b0159.jpg,1024,768,155,72,66,17,3
cmp_b0160.jpg,1024,768,115,71,55,13,3
cmp_b0161.jpg,1024,768,135,72,57,13,4
cmp_b0162.jpg,870,1024,234,111,106,19,5
cmp_b0163.jpg,1024,749,170,109,93,18,5
cmp_b0164.jpg,853,1024,129,49,46,11,4
cmp_b0165.jpg,1001,1024,149,100,79,16,4
cmp_b0166.jpg,757,1024,114,66,64,13,5
cmp_b0167.jpg,1024,837,141,83,74,19,3
cmp_b0168.jpg,974,1024,211,118,104,19,4
cmp_b0169.jpg,803,1024,173,96,88,15,4
cmp_b0170.jpg,1024,858,139,87,73,15,4
cmp_b0171.jpg,1024,933,174,80,75,18,3
cmp_b0172.jpg,812,1024,176,92,76,15,4
cmp_b0173.jpg,1024,777,151,72,56,15,3
cmp_b0174.jpg,780,1024,150,78,72,16,3
cmp_b0175.jpg,795,1024,123,76,65,15,3
cmp_b0176.jpg,836,1024,115,58,52,11,4
cmp_b0177.jpg,830,1024,112,55,53,10,5
cmp_b0178.jpg,780,1024,124,71,60,13,3
cmp_b0179.jpg,814,1024,126,65,52,13,3
cmp_b0180.jpg,800,1024,124,74,57,13,5
cmp_b0181.jpg,1024,804,125,66,52,15,2
cmp_b0182.jpg,1024,671,184,108,101,17,5
cmp_b0183.jpg,1024,720,137,63,53,17,3
cmp_b0184.jpg,1024,571,132,61,52,16,3
cmp_b0185.jpg,1024,748,170,82,70,16,2
cmp_b0186.jpg,1024,652,225,128,112,18,6
cmp_b0187.jpg,993,1024,139,86,69,15,4
cmp_b0188.jpg,1024,873,172,99,79,18,3
cmp_b0189.jpg,1024,561,119,61,51,14,3
cmp_b0190.jpg,588,1024,239,121,98,13,7
cmp_b0191.jpg,1024,824,127,70,63,17,4
cmp_b0192.jpg,1024,620,113,63,53,22,1
cmp_b0193.jpg,908,1024,168,75,62,15,5
cmp_b0194.jpg,847,1024,102,44,42,13,4
cmp_b0195.jpg,1024,654,115,64,55,21,2
cmp_b0196.jpg,468,1024,153,125,84,9,9
cmp_b0197.jpg,589,1024,170,104,87,13,5
cmp_b0198.jpg,679,1024,218,117,101,12,8
cmp_b0199.jpg,1024,688,103,57,55,18,2
cmp_b0200.jpg,562,1024,121,51,42,10,3
cmp_b0201.jpg,1024,957,154,85,74,20,3
cmp_b0202.jpg,698,1024,175,108,81,12,6
cmp_b0203.jpg,628,1024,152,83,70,11,6
cmp_b0204.jpg,1024,910,159,38,37,10,3
cmp_b0205.jpg,686,1024,128,52,51,10,3
cmp_b0206.jpg,555,1024,124,58,53,9,4
cmp_b0207.jpg,1024,649,114,36,34,12,1
cmp_b0208.jpg,770,1024,101,46,42,13,3
cmp_b0209.jpg,558,1024,166,92,87,11,7
cmp_b0210.jpg,594,1024,140,89,77,12,6
cmp_b0211.jpg,1024,768,73,36,28,7,3
cmp_b0212.jpg,1024,768,95,57,44,11,3
cmp_b0213.jpg,1024,768,104,59,48,12,3
cmp_b0214.jpg,1024,768,130,69,57,16,2
cmp_b0215.jpg,1024,768,171,78,64,13,3
cmp_b0216.jpg,1024,768,136,68,62,13,5
cmp_b0217.jpg,1024,768,82,33,31,14,2
cmp_b0218.jpg,1024,768,156,79,62,16,3
cmp_b0219.jpg,1024,768,168,87,73,15,4
cmp_b0220.jpg,1024,768,100,53,48,11,4
cmp_b0221.jpg,1024,768,165,90,76,21,3
cmp_b0222.jpg,1024,768,129,75,67,18,3
cmp_b0223.jpg,1024,768,186,89,71,18,3
cmp_b0224.jpg,1024,768,134,77,72,18,4
cmp_b0225.jpg,1024,768,95,52,44,12,3
cmp_b0226.jpg,1024,768,122,62,56,13,3
cmp_b0227.jpg,1024,768,91,32,31,13,2
cmp_b0228.jpg,1024,768,98,63,50,12,4
cmp_b0229.jpg,1024,768,125,67,57,16,2
cmp_b0230.jpg,1024,768,138,87,71,14,5
cmp_b0231.jpg,1024,768,110,57,42,11,3
cmp_b0232.jpg,1024,768,149,76,73,12,5
cmp_b0233.jpg,1024,768,94,45,40,11,3
cmp_b0234.jpg,1024,768,119,71,52,13,4
cmp_b0235.jpg,1024,768,121,88,76,13,5
cmp_b0236.jpg,593,1024,168,99,87,14,5
cmp_b0237.jpg,660,1024,142,72,61,8,5
cmp_b0238.jpg,627,1024,136,55,51,11,4
cmp_b0239.jpg,496,1024,146,76,63,13,3
cmp_b0240.jpg,595,1024,169,101,79,15,4
cmp_b0241.jpg,614,1024,180,88,77,12,4
cmp_b0242.jpg,762,1024,206,122,103,15,6
cmp_b0243.jpg,637,1024,170,78,71,16,4
cmp_b0244.jpg,586,1024,182,93,81,11,5
cmp_b0245.jpg,608,1024,142,83,68,11,6
cmp_b0246.jpg,975,1024,191,113,103,18,5
cmp_b0247.jpg,676,1024,158,101,88,15,5
